BoroCode,Program,RackType,Latitude,Longitude,FEMAFldz,HrcEvac
4,Bike Racks,Small Hoop,40.748561,-73.892623,X,0
3,Bike Racks,Large Hoop,40.643142,-73.979625,X,0
1,Bike Racks,U Rack,40.765874,-73.981103,X,0
3,Bike Racks,Large Hoop,40.648075,-74.017886,X,6
3,Bike Racks,Small Hoop,40.664834,-73.989805,X,0
4,Bike Racks,U Rack,40.762816,-73.83155,X,5
1,Bike Racks,U Rack,40.766323,-73.962942,X,0
1,Bike Racks,Small Hoop,40.774299,-73.963709,X,0
1,Bike Racks,U Rack,40.79961,-73.959816,X,0
1,Bike Racks,Large Hoop,40.73649793,-73.99314598,X,0
4,Bike Racks,Small Hoop,40.749866,-73.869746,X,0
4,Bike Racks,Small Hoop,40.750625,-73.876489,X,0
3,Bike Racks,U Rack,40.714341,-73.961453,X,0
4,Bike Racks,U Rack,40.706817,-73.753712,X,0
1,Bike Racks,U Rack,40.767325,-73.994303,X,2
2,Bike Racks,U Rack,40.816522,-73.888695,X,0
3,Bike Racks,U Rack,40.716879,-73.954418,X,3
3,Bike Racks,Wave Rack,40.693226,-73.991206,X,0
1,Bike Racks,Small Hoop,40.783824,-73.956535,X,0
3,Bike Racks,Large Hoop,40.635538,-73.995265,X,0
3,Bike Racks,U Rack,40.67634,-73.983966,X,4
3,Bike Racks,Small Hoop,40.645462,-73.958143,X,0
3,Bike Racks,Large Hoop,40.65835,-74.000018,X,5
1,Bike Racks,U Rack,40.742985,-74.003737,X,4
1,Bike Racks,Wave Rack,40.755328,-73.985068,X,0
1,Bike Racks,U Rack,40.718123,-73.990384,X,0
1,Bike Racks,U Rack,40.765261,-73.96082,X,0
1,Bike Racks,Large Hoop,40.799683,-73.952551,X,6
3,Bike Racks,Large Hoop,40.693807,-73.987326,X,0
3,Bike Racks,Wave Rack,40.607708,-73.963712,X,5
3,Bike Racks,Large Hoop,40.667862,-73.87309,X,3
1,Bike Racks,U Rack,40.72902195,-74.00265791,X,4
4,Bike Racks,Small Hoop,40.749727,-73.885046,X,0
3,Bike Racks,Large Hoop,40.63286,-73.995322,X,0
1,Bike Racks,U Rack,40.784318,-73.977354,X,0
3,Bike Racks,Small Hoop,40.624516,-74.030722,X,0
4,Bike Racks,U Rack,40.741381,-73.919106,X,0
1,Bike Corral,Bike Corral,40.760317,-73.987646,X,0
3,Bike Racks,Large Hoop,40.683957,-73.981737,X,5
2,Bike Racks,U Rack,40.817644,-73.923367,X,5
3,Bike Racks,Large Hoop,40.673281,-73.887064,X,6
1,Bike Racks,U Rack,40.726853,-73.983057,X,4
1,Bike Racks,U Rack,40.72674412,-74.00315393,X,4
1,Bike Racks,Small Hoop,40.778376,-73.948428,X,0
3,Bike Racks,Small Hoop,40.635723,-73.977082,X,0
4,Bike Racks,Large Hoop,40.713611,-73.737167,X,0
3,Bike Racks,Large Hoop,40.659631,-73.946231,X,0
3,Bike Racks,Small Hoop,40.668776,-73.987075,X,0
3,Bike Racks,U Rack,40.664804,-73.94256,X,0
1,Bike Racks,Large Hoop,40.806474,-73.935965,X,4
3,Bike Racks,Large Hoop,40.667018,-73.890667,X,5
1,Bike Racks,Large Hoop,40.742998,-74.002363,X,4
2,Bike Racks,Large Hoop,40.833816,-73.904204,X,0
3,Bike Corral,Bike Corral,40.710498,-73.954563,X,5
3,Bike Racks,Wave Rack,40.69336,-73.992027,X,0
3,Bike Racks,Wave Rack,40.722593,-73.948331,X,4
1,Bike Racks,U Rack,40.746,-74.00154,X,4
4,Bike Racks,Large Hoop,40.743773,-73.914826,X,0
3,Bike Racks,U Rack,40.685202,-73.991434,X,4
4,Bike Racks,U Rack,40.580646,-73.837539,AE,1
1,Bike Racks,Small Hoop,40.775864,-73.983508,X,0
1,Bike Racks,Small Hoop,40.833858,-73.941184,X,0
3,Bike Racks,Large Hoop,40.637906,-73.978248,X,0
3,Bike Racks,Large Hoop,40.616726,-73.971183,X,0
3,Bike Racks,Large Hoop,40.635028,-73.985035,X,0
1,Bike Racks,Small Hoop,40.769457,-73.954936,X,0
3,Bike Racks,Wave Rack,40.662458,-73.957015,X,0
3,Bike Racks,Large Hoop,40.675411,-73.957834,X,0
4,Bike Racks,Large Hoop,40.705296,-73.902701,X,0
3,Bike Racks,Large Hoop,40.636603,-74.012086,X,0
1,Bike Racks,U Rack,40.804711,-73.966543,X,0
1,Bike Racks,Large Hoop,40.7293,-73.987384,X,0
3,Bike Racks,Large Hoop,40.612804,-73.973643,X,6
1,Bike Racks,U Rack,40.728124,-73.990799,X,0
3,Bike Racks,Large Hoop,40.639549,-73.990896,X,0
1,Bike Racks,U Rack,40.715068,-74.009463,X,5
3,Bike Racks,Wave Rack,40.689438,-73.981389,X,0
3,Bike Racks,Large Hoop,40.716646,-73.961926,X,6
4,Bike Racks,Small Hoop,40.744489,-73.915302,X,0
3,Bike Racks,U Rack,40.710426,-73.965719,X,6
1,Bike Racks,Small Hoop,40.801915,-73.937262,X,4
3,Bike Racks,U Rack,40.705294,-73.942952,X,6
4,Bike Racks,Large Hoop,40.729306,-73.86083,X,0
4,Bike Racks,Small Hoop,40.745574,-73.904052,X,0
3,Bike Racks,U Rack,40.678441,-73.985837,X,2
5,Bike Racks,U Rack,40.619856,-74.077399,X,0
5,Bike Racks,U Rack,40.538337,-74.149194,X,1
3,Bike Racks,U Rack,40.669247,-73.958547,X,0
1,Bike Racks,U Rack,40.809772,-73.957189,X,0
4,Bike Racks,U Rack,40.755146,-73.926828,X,6
1,Bike Racks,Wave Rack,40.729174,-73.99081,X,0
3,Bike Racks,Large Hoop,40.718942,-73.960865,X,6
1,Bike Racks,Large Hoop,40.730863,-73.985904,X,5
1,Bike Racks,Small Hoop,40.769622,-73.951868,X,6
1,Bike Racks,U Rack,40.764605,-73.978074,X,0
4,Bike Racks,Small Hoop,40.747214,-73.889551,X,0
4,Bike Racks,Large Hoop,40.745766,-73.889094,X,0
3,Bike Racks,Large Hoop,40.639178,-73.968626,X,0
3,Bike Racks,Large Hoop,40.632398,-73.994749,X,0
2,Bike Racks,U Rack,40.886023,-73.844864,X,0
3,Bike Racks,U Rack,40.704874,-73.933231,X,4
4,Bike Racks,U Rack,40.706226,-73.757974,X,0
1,Bike Racks,U Rack,40.735941,-73.997479,X,5
3,Bike Racks,Large Hoop,40.63409,-73.965982,X,0
1,Bike Racks,Large Hoop,40.868866,-73.931633,AE,1
3,Bike Racks,Wave Rack,40.709063,-73.96025,X,0
4,Bike Racks,U Rack,40.753552,-73.907323,X,0
1,Bike Racks,Large Hoop,40.758832,-73.968095,X,0
1,Bike Racks,Small Hoop,40.77192,-73.96122,X,0
1,Bike Racks,U Rack,40.841855,-73.941466,X,0
3,Bike Racks,U Rack,40.672957,-73.942748,X,0
2,Bike Racks,Large Hoop,40.853657,-73.908742,X,0
4,Bike Racks,Wave Rack,40.761462,-73.760996,X,0
4,Bike Racks,Large Hoop,40.726643,-73.728574,X,0
1,Bike Racks,Large Hoop,40.802923,-73.944937,X,6
3,Bike Racks,U Rack,40.681109,-73.994206,X,0
1,Bike Racks,Small Hoop,40.767432,-73.956125,X,0
3,Bike Racks,Large Hoop,40.713947,-73.960109,X,0
3,Bike Corral,Bike Corral,40.718382,-73.952326,AE,3
1,Bike Corral,Bike Corral,40.77941,-73.953645,X,0
3,Bike Racks,Wave Rack,40.680358,-73.972931,X,0
3,Bike Racks,U Rack,40.690485,-73.959565,X,0
2,Bike Corral,Bike Corral,40.813663,-73.858256,X,5
3,Bike Racks,U Rack,40.700545,-73.942564,X,6
1,Bike Racks,U Rack,40.763344,-73.974646,X,0
3,Bike Racks,Large Hoop,40.704474,-73.986467,AE,2
3,Bike Racks,U Rack,40.67536,-73.963172,X,0
3,Bike Racks,Small Hoop,40.651041,-73.949674,X,0
1,Bike Racks,Small Hoop,40.771643,-73.959366,X,0
1,Bike Racks,U Rack,40.734918,-73.993041,X,0
4,Bike Racks,U Rack,40.706226,-73.757985,X,0
1,Bike Racks,U Rack,40.729495,-73.99979,X,6
1,Bike Racks,U Rack,40.729932,-73.99549,X,0
4,Bike Racks,U Rack,40.70067,-73.895454,X,0
3,Bike Racks,U Rack,40.676317,-73.94162,X,0
1,Bike Racks,U Rack,40.72325,-73.990177,X,0
5,Bike Racks,U Rack,40.539167,-74.148797,X,5
3,Bike Racks,U Rack,40.677223,-73.982994,X,5
4,Bike Racks,Small Hoop,40.745603,-73.903773,X,0
3,Bike Racks,Large Hoop,40.715798,-73.944516,X,0
3,Bike Racks,Large Hoop,40.669423,-73.910747,X,0
3,Bike Racks,Large Hoop,40.674021,-73.956824,X,0
1,Bike Racks,U Rack,40.785604,-73.976652,X,0
3,Bike Racks,Large Hoop,40.708265,-73.922086,X,5
3,Bike Racks,U Rack,40.669395,-73.950475,X,0
3,Bike Racks,U Rack,40.67839,-73.913931,X,0
3,Bike Racks,Large Hoop,40.648219,-73.978827,X,0
3,Bike Racks,U Rack,40.635433,-73.995375,X,0
3,Bike Racks,Small Hoop,40.651718,-73.929964,X,6
3,Bike Racks,Small Hoop,40.678869,-73.978715,X,0
3,Bike Racks,Small Hoop,40.681563,-73.97576,X,0
3,Bike Racks,Large Hoop,40.665501,-73.942626,X,0
3,Bike Racks,Wave Rack,40.68456,-73.978976,X,0
1,Bike Racks,U Rack,40.725815,-73.983812,X,4
2,Bike Racks,Small Hoop,40.886645,-73.910386,X,0
1,Bike Racks,Small Hoop,40.771298,-73.966293,X,0
3,Bike Racks,Large Hoop,40.707533,-73.95046,X,6
4,Bike Racks,U Rack,40.774843,-73.913442,X,0
3,Bike Racks,Wave Rack,40.717168,-73.956747,X,5
1,Bike Racks,Large Hoop,40.80954976,-73.95291502,X,6
3,Bike Racks,Large Hoop,40.680459,-73.991904,X,2
1,Bike Racks,Wave Rack,40.74724669,-73.97715722,X,0
3,Bike Racks,Small Hoop,40.669934,-73.988095,X,0
3,Bike Racks,U Rack,40.665296,-73.983044,X,0
2,Bike Racks,Large Hoop,40.822708,-73.891651,X,0
3,Bike Racks,Large Hoop,40.701485,-73.986571,X,0
2,Bike Racks,Large Hoop,40.853966,-73.914468,X,0
3,Bike Racks,Large Hoop,40.662223,-73.89209,X,5
3,Bike Racks,Large Hoop,40.706817,-73.923348,X,5
3,Bike Racks,Large Hoop,40.675195,-73.919798,X,0
2,Bike Racks,U Rack,40.816842,-73.922913,X,5
1,Bike Racks,U Rack,40.756535,-73.967166,X,0
4,Bike Racks,Large Hoop,40.725201,-73.74455,X,0
1,Bike Racks,U Rack,40.716414,-73.988553,X,0
3,Bike Racks,Large Hoop,40.636537,-74.000264,X,0
1,Bike Racks,U Rack,40.717532,-73.990487,X,0
1,Bike Racks,U Rack,40.736453,-74.006158,X,4
1,Bike Racks,U Rack,40.725503,-73.978377,AE,1
4,Bike Racks,U Rack,40.713379,-73.829189,X,0
1,Bike Racks,Small Hoop,40.792438,-73.971697,X,0
3,Bike Corral,Bike Corral,40.687134,-73.956918,X,0
3,Bike Racks,U Rack,40.72892,-73.953777,X,4
3,Bike Racks,U Rack,40.597716,-73.99626,X,4
1,Bike Racks,U Rack,40.847517,-73.939571,X,0
1,Bike Racks,U Rack,40.729035,-74.000819,X,5
1,Bike Racks,Wave Rack,40.755214,-73.968417,X,6
1,Bike Racks,U Rack,40.8492,-73.935344,X,0
3,Bike Racks,Large Hoop,40.641764,-73.963032,X,0
3,Bike Racks,U Rack,40.677278,-73.968888,X,0
3,Bike Racks,Large Hoop,40.644458,-74.007504,X,0
3,Bike Racks,U Rack,40.712918,-73.960494,X,0
3,Bike Racks,Large Hoop,40.712884,-73.963407,X,0
1,Bike Racks,Large Hoop,40.729843,-73.986653,X,5
1,Bike Racks,Small Hoop,40.776419,-73.957935,X,0
4,Bike Racks,U Rack,40.745137,-73.920934,X,0
3,Bike Racks,U Rack,40.66715717,-73.98145961,X,0
1,Bike Racks,Small Hoop,40.835751,-73.943433,X,0
3,Bike Racks,U Rack,40.590247,-73.973454,X,2
3,Bike Racks,Large Hoop,40.686608,-73.874743,X,0
1,Bike Racks,Wave Rack,40.802552,-73.947022,X,5
1,Bike Racks,U Rack,40.77978,-73.953134,X,0
1,Bike Corral,Bike Corral,40.758991,-73.988604,X,0
4,Bike Racks,Large Hoop,40.686235,-73.823988,X,0
1,Bike Racks,U Rack,40.781465,-73.978523,X,0
1,Bike Racks,Wave Rack,40.76738,-73.96432,X,0
3,Bike Racks,U Rack,40.650874,-74.004414,X,0
3,Bike Racks,U Rack,40.687599,-73.992842,X,4
1,Bike Racks,Wave Rack,40.7147,-74.007563,X,6
1,Bike Racks,Large Hoop,40.713031,-74.009555,X,4
1,Bike Racks,U Rack,40.808725,-73.944626,X,6
1,Bike Racks,U Rack,40.763974,-73.988308,X,0
3,Bike Racks,U Rack,40.672605,-73.983331,X,0
2,Bike Racks,Large Hoop,40.853846,-73.914568,X,0
1,Bike Racks,U Rack,40.74528,-73.992672,X,0
1,Bike Racks,U Rack,40.726639,-73.989212,X,0
1,Bike Corral,Bike Corral,40.805588,-73.944805,X,6
3,Bike Racks,Small Hoop,40.711369,-73.947499,X,0
